subject_id,subject_type,url,data_updated_at,data_created_at,data_level,data_slug,data_characters,data_lesson_position,data_spaced_repetition_system_id,data_hidden_at,has_reading,has_context_sentences,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
70,radical,https://api.wanikani.com/v2/subjects/70,2025-10-15 19:00:26.400093+00:00,2012-03-01 01:57:52+00:00,3,drawer-70,母,5,1,2018-12-05 18:38:50.766340+00:00,0,0,0,0,0,0
71,radical,https://api.wanikani.com/v2/subjects/71,2026-04-06 18:48:39.716764+00:00,2012-03-01 01:58:40+00:00,3,task,用,19,1,,0,0,0,7,0,0
72,radical,https://api.wanikani.com/v2/subjects/72,2026-03-18 00:33:15.236501+00:00,2012-03-01 01:59:07+00:00,3,arrow,矢,20,1,,0,0,0,17,0,0
73,radical,https://api.wanikani.com/v2/subjects/73,2025-12-06 03:47:35.976472+00:00,2012-03-01 02:07:46+00:00,3,door,戸,21,1,,0,0,0,11,0,0
74,radical,https://api.wanikani.com/v2/subjects/74,2026-01-30 23:46:12.340974+00:00,2012-03-01 21:28:38+00:00,4,measurement,寸,5,1,,0,0,0,26,0,0
75,radical,https://api.wanikani.com/v2/subjects/75,2026-04-01 01:35:19.367749+00:00,2012-03-01 21:29:24+00:00,4,leader,ｲ,10,1,,0,0,0,95,0,0
76,radical,https://api.wanikani.com/v2/subjects/76,2026-01-16 18:51:44.236861+00:00,2012-03-01 21:30:09+00:00,4,forehead,冖,12,1,,0,0,0,34,0,0
77,radical,https://api.wanikani.com/v2/subjects/77,2026-03-24 04:47:22.214427+00:00,2012-03-01 21:31:39+00:00,4,alligator,也,13,1,,0,0,0,5,0,0
78,radical,https://api.wanikani.com/v2/subjects/78,2026-03-02 23:15:52.231082+00:00,2012-03-01 21:32:14+00:00,3,roof,宀,18,1,,0,0,0,54,0,0
79,radical,https://api.wanikani.com/v2/subjects/79,2025-11-14 22:31:56.723758+00:00,2012-03-01 21:32:32+00:00,4,ceremony,弋,14,1,,0,0,0,5,0,0
80,radical,https://api.wanikani.com/v2/subjects/80,2026-01-13 02:56:28.904504+00:00,2012-03-01 21:32:50+00:00,4,spirit,ネ,15,1,,0,0,0,20,0,0
81,radical,https://api.wanikani.com/v2/subjects/81,2026-01-30 23:30:12.871593+00:00,2012-03-01 21:33:21+00:00,4,branch,支,16,1,,0,0,0,8,0,0
82,radical,https://api.wanikani.com/v2/subjects/82,2025-11-07 23:23:06.059974+00:00,2012-03-01 21:33:30+00:00,4,energy,气,18,1,,0,0,0,2,0,0
83,radical,https://api.wanikani.com/v2/subjects/83,2026-03-29 18:10:47.677773+00:00,2012-03-01 21:34:08+00:00,4,world,世,19,1,,0,0,0,5,0,0
84,radical,https://api.wanikani.com/v2/subjects/84,2025-10-01 06:09:47.052712+00:00,2012-03-01 21:34:41+00:00,4,plate,皿,20,1,,0,0,0,11,0,0
85,radical,https://api.wanikani.com/v2/subjects/85,2026-02-23 15:37:55.121141+00:00,2012-03-01 21:35:10+00:00,4,bamboo,竹,21,1,,0,0,0,23,0,0
86,radical,https://api.wanikani.com/v2/subjects/86,2026-04-05 19:31:59.040578+00:00,2012-03-01 21:35:55+00:00,4,thread,糸,22,1,,0,0,0,65,0,0
87,radical,https://api.wanikani.com/v2/subjects/87,2025-12-01 21:04:30.700843+00:00,2012-03-01 21:36:17+00:00,3,poop,幺,22,1,,0,0,0,13,0,0
88,radical,https://api.wanikani.com/v2/subjects/88,2026-04-01 07:31:13.707710+00:00,2012-03-01 21:37:01+00:00,4,ear,耳,23,1,,0,0,0,13,0,0
89,radical,https://api.wanikani.com/v2/subjects/89,2026-02-18 07:22:58.542947+00:00,2012-03-01 21:37:26+00:00,4,insect,虫,24,1,,0,0,0,19,0,0
90,radical,https://api.wanikani.com/v2/subjects/90,2026-04-07 17:45:03.179824+00:00,2012-03-01 21:37:50+00:00,4,flowers,艹,26,1,,0,0,0,66,0,0
91,radical,https://api.wanikani.com/v2/subjects/91,2026-04-07 17:40:57.020503+00:00,2012-03-01 21:38:16+00:00,4,see,見,27,1,,0,0,0,11,0,0
92,radical,https://api.wanikani.com/v2/subjects/92,2025-10-01 06:09:47.131262+00:00,2012-03-01 21:38:28+00:00,4,red,赤,28,1,,0,0,0,2,0,0
93,radical,https://api.wanikani.com/v2/subjects/93,2026-02-28 03:10:24.143918+00:00,2012-03-01 21:38:35+00:00,4,car,車,29,1,,0,0,0,30,0,0
94,radical,https://api.wanikani.com/v2/subjects/94,2026-04-07 17:35:03.677256+00:00,2012-03-02 18:13:26+00:00,4,shellfish,貝,30,1,,0,0,0,46,0,0
95,radical,https://api.wanikani.com/v2/subjects/95,2026-04-01 06:49:24.911379+00:00,2012-03-02 18:26:29+00:00,4,foot,足,31,1,,0,0,0,13,0,0
96,radical,https://api.wanikani.com/v2/subjects/96,2025-10-01 06:09:47.162501+00:00,2012-03-02 18:32:58+00:00,4,not,不,32,1,,0,0,0,3,0,0
97,radical,https://api.wanikani.com/v2/subjects/97,2026-04-08 06:51:37.591315+00:00,2012-03-03 00:33:59+00:00,4,samurai,士,33,1,,0,0,0,14,0,0
98,radical,https://api.wanikani.com/v2/subjects/98,2026-03-29 18:12:37.987919+00:00,2012-03-03 01:47:35+00:00,4,rice,米,34,1,,0,0,0,23,0,0
99,radical,https://api.wanikani.com/v2/subjects/99,2025-10-01 06:09:47.200532+00:00,2012-03-03 01:47:48+00:00,4,loiter,彳,35,1,,0,0,0,23,0,0
100,radical,https://api.wanikani.com/v2/subjects/100,2026-03-29 18:22:31.647431+00:00,2012-03-03 01:48:06+00:00,4,bed,巴,36,1,,0,0,0,2,0,0
101,radical,https://api.wanikani.com/v2/subjects/101,2025-10-01 06:09:47.219248+00:00,2012-03-03 01:55:57+00:00,4,pi,兀,37,1,,0,0,0,2,0,0
102,radical,https://api.wanikani.com/v2/subjects/102,2026-01-13 02:33:15.957788+00:00,2012-03-03 02:03:04+00:00,3,towel,巾,23,1,,0,0,0,27,0,0
103,radical,https://api.wanikani.com/v2/subjects/103,2026-03-29 18:15:23.483599+00:00,2012-03-03 02:07:12+00:00,5,tsunami,氵,0,1,,0,0,0,117,0,0
104,radical,https://api.wanikani.com/v2/subjects/104,2025-11-07 23:34:08.229191+00:00,2012-03-03 02:08:01+00:00,5,coffin,耂,1,1,,0,0,0,4,0,0
105,radical,https://api.wanikani.com/v2/subjects/105,2026-03-02 23:23:13.568105+00:00,2012-03-03 02:08:24+00:00,5,wolverine,ヨ,2,1,,0,0,0,24,0,0
106,radical,https://api.wanikani.com/v2/subjects/106,2026-03-29 19:23:36.291149+00:00,2012-03-03 02:08:34+00:00,5,twenty,廾,3,1,,0,0,0,11,0,0
107,radical,https://api.wanikani.com/v2/subjects/107,2026-02-26 05:27:49.000158+00:00,2012-03-03 02:08:54+00:00,3,window,毋,11,1,,0,0,0,8,0,0
108,radical,https://api.wanikani.com/v2/subjects/108,2025-12-05 19:33:00.426254+00:00,2012-03-03 02:10:03+00:00,5,meat,肉,4,1,,0,0,0,2,0,0
109,radical,https://api.wanikani.com/v2/subjects/109,2026-03-29 19:23:36.291149+00:00,2012-03-03 02:10:17+00:00,5,self,自,5,1,,0,0,0,6,0,0
110,radical,https://api.wanikani.com/v2/subjects/110,2025-11-24 20:12:30.409026+00:00,2012-03-03 04:06:41+00:00,5,color,色,6,1,,0,0,0,2,0,0
111,radical,https://api.wanikani.com/v2/subjects/111,2025-10-01 06:09:47.285462+00:00,2012-03-03 04:07:24+00:00,5,go,行,7,1,,0,0,0,6,0,0
112,radical,https://api.wanikani.com/v2/subjects/112,2025-10-08 17:19:07.778293+00:00,2012-03-03 04:07:33+00:00,5,west,西,8,1,,0,0,0,2,0,0
113,radical,https://api.wanikani.com/v2/subjects/113,2026-04-01 01:35:19.367749+00:00,2012-03-03 04:07:41+00:00,5,lip-ring,可,9,1,,0,0,0,8,0,0
114,radical,https://api.wanikani.com/v2/subjects/114,2026-04-09 01:30:39.384701+00:00,2012-03-03 04:07:58+00:00,5,scooter,⻌,10,1,,0,0,0,57,0,0
115,radical,https://api.wanikani.com/v2/subjects/115,2026-03-18 00:29:41.941203+00:00,2012-03-03 04:08:25+00:00,5,axe,斤,11,1,,0,0,0,21,0,0
116,radical,https://api.wanikani.com/v2/subjects/116,2026-03-29 18:15:23.483599+00:00,2012-03-03 04:08:50+00:00,4,cliff,厂,38,1,,0,0,0,23,0,0
117,radical,https://api.wanikani.com/v2/subjects/117,2026-03-17 23:06:58.837958+00:00,2012-03-03 04:09:27+00:00,5,say,言,13,1,,0,0,0,66,0,0
118,radical,https://api.wanikani.com/v2/subjects/118,2026-02-25 09:52:41.789411+00:00,2012-03-03 04:09:34+00:00,5,gold,金,15,1,,0,0,0,31,0,0
119,radical,https://api.wanikani.com/v2/subjects/119,2025-11-14 22:08:10.397284+00:00,2012-03-03 04:09:41+00:00,5,rain,雨,16,1,,0,0,0,16,0,0
120,radical,https://api.wanikani.com/v2/subjects/120,2026-03-29 19:00:51.825704+00:00,2012-03-03 04:09:52+00:00,5,blue,青,17,1,,0,0,0,8,0,0
121,radical,https://api.wanikani.com/v2/subjects/121,2025-10-08 16:49:33.585551+00:00,2012-03-05 19:41:16+00:00,5,mustache,冋,18,1,,0,0,0,12,0,0
122,radical,https://api.wanikani.com/v2/subjects/122,2025-11-17 19:56:10.241947+00:00,2012-03-06 00:54:58+00:00,5,key,乍,19,1,,0,0,0,5,0,0
123,radical,https://api.wanikani.com/v2/subjects/123,2026-03-19 06:03:32.726396+00:00,2012-03-06 01:28:52+00:00,3,ice,冫,0,1,,0,0,0,14,0,0
124,radical,https://api.wanikani.com/v2/subjects/124,2026-01-27 00:39:24.766977+00:00,2012-03-06 06:57:41+00:00,5,run,走,20,1,,0,0,0,7,0,0
125,radical,https://api.wanikani.com/v2/subjects/125,2025-10-08 16:49:33.610881+00:00,2012-03-06 07:15:20+00:00,5,village,里,21,1,,0,0,0,13,0,0
126,radical,https://api.wanikani.com/v2/subjects/126,2026-02-17 17:37:01.361000+00:00,2012-03-06 23:56:07+00:00,2,cow,牛,31,2,,0,0,0,12,0,0
127,radical,https://api.wanikani.com/v2/subjects/127,2026-03-29 18:12:37.987919+00:00,2012-03-07 00:19:21+00:00,7,box,凵,8,1,,0,0,0,2,0,0
128,radical,https://api.wanikani.com/v2/subjects/128,2026-02-26 05:40:20.776264+00:00,2012-03-07 00:19:42+00:00,6,knife,刂,41,1,,0,0,0,37,0,0
129,radical,https://api.wanikani.com/v2/subjects/129,2025-10-08 17:35:05.420791+00:00,2012-03-07 00:20:00+00:00,6,ladle,斗,71,1,,0,0,0,4,0,0
130,radical,https://api.wanikani.com/v2/subjects/130,2025-11-11 03:16:41.901026+00:00,2012-03-07 00:20:23+00:00,6,angel,ホ,51,1,,0,0,0,3,0,0
131,radical,https://api.wanikani.com/v2/subjects/131,2025-11-23 05:58:29.379374+00:00,2012-03-07 00:22:15+00:00,6,boil,灬,168,1,,0,0,0,16,0,0
132,radical,https://api.wanikani.com/v2/subjects/132,2026-01-30 23:44:35.552963+00:00,2012-03-07 00:22:24+00:00,6,yakuza,歹,9,1,,0,0,0,10,0,0
133,radical,https://api.wanikani.com/v2/subjects/133,2025-10-08 17:35:05.137759+00:00,2012-03-07 00:22:32+00:00,6,cyclops-133,向,44,1,2018-12-05 18:38:50.795935+00:00,0,0,0,0,0,0
134,radical,https://api.wanikani.com/v2/subjects/134,2026-01-30 23:44:35.552963+00:00,2012-03-07 00:22:39+00:00,6,jet,未,40,1,,0,0,0,10,0,0
135,radical,https://api.wanikani.com/v2/subjects/135,2025-11-29 00:45:00.948456+00:00,2012-03-07 00:22:47+00:00,6,grain,禾,53,1,,0,0,0,36,0,0
136,radical,https://api.wanikani.com/v2/subjects/136,2025-12-10 21:06:12.518486+00:00,2012-03-07 00:22:55+00:00,6,sheep,羊,64,1,,0,0,0,18,0,0
137,radical,https://api.wanikani.com/v2/subjects/137,2025-10-08 17:35:06.523251+00:00,2012-03-07 00:23:41+00:00,6,blood,血,169,1,,0,0,0,2,0,0
138,radical,https://api.wanikani.com/v2/subjects/138,2025-10-08 17:35:05.178881+00:00,2012-03-07 00:23:56+00:00,6,long,長,49,1,,0,0,0,4,0,0
139,radical,https://api.wanikani.com/v2/subjects/139,2026-04-01 07:31:13.704504+00:00,2012-03-07 00:24:11+00:00,6,eat,食,57,1,,0,0,0,12,0,0
140,radical,https://api.wanikani.com/v2/subjects/140,2025-11-17 20:01:27.526431+00:00,2012-03-07 00:26:12+00:00,2,private,ム,32,2,,0,0,0,20,0,0
141,radical,https://api.wanikani.com/v2/subjects/141,2026-04-06 18:48:39.716764+00:00,2012-03-08 03:57:37+00:00,6,mama,マ,50,1,,0,0,0,5,0,0
142,radical,https://api.wanikani.com/v2/subjects/142,2025-11-11 23:03:31.014085+00:00,2012-03-08 07:04:09+00:00,7,lack,欠,2,1,,0,0,0,12,0,0
143,radical,https://api.wanikani.com/v2/subjects/143,2026-03-29 18:20:39.951302+00:00,2012-03-08 23:56:12+00:00,6,fortune,占,45,1,,0,0,0,5,0,0
144,radical,https://api.wanikani.com/v2/subjects/144,2026-01-29 00:51:14.915580+00:00,2012-03-22 00:46:58+00:00,14,animal,犭,10,1,,0,0,0,15,0,0
