review_stat_id,object,url,data_updated_at,data_created_at,subject_id,data_subject_type,data_meaning_correct,data_meaning_incorrect,data_meaning_max_streak,data_meaning_current_streak,data_reading_correct,data_reading_incorrect,data_reading_max_streak,data_reading_current_streak,data_percentage_correct,data_hidden
465044602,review_statistic,https://api.wanikani.com/v2/review_statistics/465044602,2025-08-02 21:29:29.051214+00:00,2025-02-07 17:57:13.074633+00:00,34,radical,8,0,8,8,8,0,8,8,100,False
465044635,review_statistic,https://api.wanikani.com/v2/review_statistics/465044635,2025-08-02 21:27:07.775590+00:00,2025-02-07 17:57:24.771926+00:00,2482,vocabulary,8,0,8,8,8,0,8,8,100,False
465044664,review_statistic,https://api.wanikani.com/v2/review_statistics/465044664,2025-08-02 21:58:26.159026+00:00,2025-02-07 17:57:34.635423+00:00,35,radical,8,0,8,8,8,0,8,8,100,False
465044684,review_statistic,https://api.wanikani.com/v2/review_statistics/465044684,2025-08-03 02:47:55.543746+00:00,2025-02-07 17:57:42.493326+00:00,2483,vocabulary,8,0,8,8,8,0,8,8,100,False
465044694,review_statistic,https://api.wanikani.com/v2/review_statistics/465044694,2025-08-02 22:06:18.611951+00:00,2025-02-07 17:57:46.113163+00:00,476,kanji,8,0,8,8,8,0,8,8,100,False
465545737,review_statistic,https://api.wanikani.com/v2/review_statistics/465545737,2025-08-03 20:59:49.567193+00:00,2025-02-08 18:15:51.499174+00:00,36,radical,8,0,8,8,8,0,8,8,100,False
465545761,review_statistic,https://api.wanikani.com/v2/review_statistics/465545761,2026-01-22 21:40:46.418197+00:00,2025-02-08 18:16:00.774490+00:00,2484,vocabulary,9,0,9,9,9,1,9,9,95,False
465545785,review_statistic,https://api.wanikani.com/v2/review_statistics/465545785,2025-08-03 20:46:32.751089+00:00,2025-02-08 18:16:20.590505+00:00,2485,vocabulary,8,0,8,8,8,0,8,8,100,False
465545802,review_statistic,https://api.wanikani.com/v2/review_statistics/465545802,2025-08-03 20:46:43.277730+00:00,2025-02-08 18:16:28.486909+00:00,2486,vocabulary,8,0,8,8,8,0,8,8,100,False
465545817,review_statistic,https://api.wanikani.com/v2/review_statistics/465545817,2025-08-03 20:50:48.139637+00:00,2025-02-08 18:16:33.763133+00:00,37,radical,8,0,8,8,8,0,8,8,100,False
465545960,review_statistic,https://api.wanikani.com/v2/review_statistics/465545960,2025-08-03 20:46:54.792695+00:00,2025-02-08 18:17:52.480272+00:00,39,radical,8,0,8,8,8,0,8,8,100,False
465545968,review_statistic,https://api.wanikani.com/v2/review_statistics/465545968,2025-08-03 20:50:43.970909+00:00,2025-02-08 18:17:56.276185+00:00,38,radical,8,0,8,8,8,0,8,8,100,False
465546005,review_statistic,https://api.wanikani.com/v2/review_statistics/465546005,2025-08-03 20:57:24.311583+00:00,2025-02-08 18:18:11.019648+00:00,40,radical,8,0,8,8,8,0,8,8,100,False
465546042,review_statistic,https://api.wanikani.com/v2/review_statistics/465546042,2025-08-03 20:53:17.873482+00:00,2025-02-08 18:18:30.126656+00:00,2488,vocabulary,8,0,8,8,8,0,8,8,100,False
465546066,review_statistic,https://api.wanikani.com/v2/review_statistics/465546066,2025-08-03 20:53:11.562510+00:00,2025-02-08 18:18:35.932792+00:00,2487,vocabulary,8,0,8,8,8,0,8,8,100,False
465579599,review_statistic,https://api.wanikani.com/v2/review_statistics/465579599,2025-08-03 20:58:29.210641+00:00,2025-02-08 19:43:55.465935+00:00,41,radical,8,0,8,8,8,0,8,8,100,False
465579620,review_statistic,https://api.wanikani.com/v2/review_statistics/465579620,2025-08-03 21:01:49.224677+00:00,2025-02-08 19:44:08.316988+00:00,2489,vocabulary,8,0,8,8,8,0,8,8,100,False
465579660,review_statistic,https://api.wanikani.com/v2/review_statistics/465579660,2026-01-16 18:54:15.316975+00:00,2025-02-08 19:44:23.156508+00:00,2490,vocabulary,14,2,7,7,14,0,14,14,93,False
465579671,review_statistic,https://api.wanikani.com/v2/review_statistics/465579671,2025-08-03 20:51:45.713280+00:00,2025-02-08 19:44:29.088005+00:00,42,radical,8,0,8,8,8,0,8,8,100,False
465579683,review_statistic,https://api.wanikani.com/v2/review_statistics/465579683,2025-08-03 20:47:44.281644+00:00,2025-02-08 19:44:32.258429+00:00,478,kanji,8,0,8,8,8,0,8,8,100,False
