snapshot_date,subject_id,subject_type,data_level,data_srs_stage,pct_correct,total_attempts_est,total_incorrect,meaning_error_rate,reading_error_rate,data_meaning_current_streak,data_reading_current_streak,data_meaning_max_streak,data_reading_max_streak,age_days_since_unlocked,days_since_assignment_update,has_reading,component_subject_count,amalgamation_subject_count,visually_similar_count,parts_of_speech_count
2026-04-21,8985,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0134061603704,101.30198062353008,1,2,0,0,1
2026-04-21,3697,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0124693462847,98.45896482526621,1,1,0,0,1
2026-04-21,3698,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.01246927199077,98.45643571793981,1,2,0,0,1
2026-04-21,3667,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0060932849074,101.30056744917825,1,3,0,0,1
2026-04-21,3692,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0048879877199,99.94864399721065,1,2,0,0,1
2026-04-21,3693,vocabulary,14,7,91.0,33.0,3.0,0.11764705882352941,0.0625,3.0,10.0,10.0,10.0,309.0048878841551,9.477566225497686,1,2,0,0,1
2026-04-21,3694,vocabulary,14,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,309.0048877922801,98.45688527773147,1,2,0,0,1
2026-04-21,281,radical,5,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,307.12935936150467,103.4269352085301,0,0,4,0,0
2026-04-21,9148,vocabulary,3,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,307.1270298280324,103.42819469547453,1,2,0,0,1
2026-04-21,9147,vocabulary,4,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,300.36999210280095,97.22593788247684,1,1,0,0,1
2026-04-21,941,kanji,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.28024142871527,102.94822007311342,1,1,3,1,0
2026-04-21,3755,vocabulary,15,9,100.0,16.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,288.07878417386576,90.43658318325231,1,1,0,0,2
